A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P
0.06622864,0.7235267,-0.085281014,-0.04241109,-0.123051494,-0.07868854,0.122766376,-0.0446036,0.07467203,0.20951468,0.121825784,0.096372165,0.9040836,0.81631047,-0.014596075,0.21298447
-0.10773109,0.47208774,0.13800013,-0.061817072,-0.1288704,-0.09246587,0.0832234,0.024475217,0.09961656,0.25179493,0.1314658,0.2456784,0.96186036,0.43026173,0.0967561,0.3001911
0.038743496,0.5222764,-0.13941148,-0.069074735,0.082596496,-0.039780773,-0.03902457,0.1254094,0.36078563,0.30547246,0.03262417,0.23605517,0.7772798,0.46004567,0.1362811,0.24462947
0.079248905,0.438873,-0.1235849,-0.12973092,0.13609609,-0.027477317,0.057693437,-0.08584954,0.27992535,0.5980296,-0.03919425,0.46696568,0.64638376,0.57447875,0.03155586,0.29911295
0.019580469,0.4084135,0.11095658,-0.1072557,-0.063130766,-0.0011325032,0.042255715,-0.12142412,0.14357892,0.29948673,-0.13123918,0.39253083,0.70368004,0.5515687,-0.10116805,0.47869018
-0.08765289,0.7305361,0.05401425,0.016579255,-0.09241091,-0.03729701,0.06442003,-0.011062577,0.21244971,0.32935467,-0.032673508,0.4097765,0.80184263,0.75684994,-0.052319996,0.36850122
-0.08867915,0.61196184,0.038643837,-0.07049364,0.037457705,-0.09584659,0.07151225,-0.03299371,0.34580863,0.62191576,-0.108047605,0.28229862,0.76443774,0.61294997,0.08424123,0.34998465
-0.10929312,0.7001618,0.028359503,0.016554251,-0.030911908,0.014451131,0.029404178,0.11604184,0.32959294,0.48428842,-0.04536107,0.13970014,0.6709064,0.4488351,-0.09551735,0.2602486
-0.06063366,0.4778195,-0.14570388,0.10463789,-0.020801306,-0.1257731,-0.05281672,-0.08589907,0.41933218,0.6634829,0.05450569,0.061882228,0.56322527,0.37329167,0.14552242,0.11897356
-0.10308252,0.36562073,-0.05099523,-0.14156859,0.08082788,-0.1220219,0.1413067,-0.015299663,0.398989,0.58678997,-0.08008179,0.4816261,0.52555025,0.46441773,0.14859012,0.113448
-0.014004961,0.3715844,-0.057165764,-0.036264487,-0.079886325,0.14424929,0.013254061,0.023770526,0.45581663,0.63983357,0.14974213,0.29952854,0.74644697,0.33745155,-0.07663624,0.24605715
0.059664175,0.3779722,0.019084334,-0.07153759,-0.11325768,-0.06961289,-0.045593373,0.086841345,0.20903578,0.7295718,0.07208821,0.14016907,0.63704216,0.46447757,-0.063351616,0.38528788
-0.046078727,0.7681175,-0.067116916,-0.09682459,0.061331257,0.088716075,0.1369119,-0.06958282,0.28587487,0.5123062,-0.0020524263,0.11439432,0.7033287,0.5789793,0.14385357,0.26295272
0.09783615,0.45561665,-0.12865268,0.055961117,0.06937893,-0.020938993,-0.120511636,0.146133,0.40869248,0.4055635,0.12975699,0.21488723,0.814078,0.3841464,0.05822061,0.13787754
0.03804554,0.32600805,-0.04667031,-0.13138133,0.020183176,0.06801139,0.12598872,-0.07430604,0.23683272,0.7355827,0.039599165,0.38600272,0.724929,0.5179472,-0.05038937,0.3311885
0.092469335,0.63053674,0.08980195,-0.08594772,0.13206068,-0.06819624,0.116444916,-0.13051382,0.10388919,0.36147273,0.13635668,0.17426422,0.73686314,0.6316153,0.13999575,0.036570013
-0.0040103495,0.074417844,-0.050467305,0.11324343,-0.07663418,-0.10243432,-0.114537284,-0.11489345,0.5150007,0.14975497,-0.05577357,0.25030938,0.6903458,0.1737505,0.09454356,0.24370934
0.107655525,0.44782475,0.043412045,0.06598808,-0.09627785,0.09895259,0.06158097,0.123318166,0.29199263,0.68692094,0.14970553,0.13805686,0.45412385,0.49389,0.05277525,0.33731276
0.037695244,0.5030455,0.0905797,-0.090926245,0.04188241,0.078838676,0.057293072,-0.09569763,0.28786826,0.55149364,0.105225235,0.11900643,0.7615386,0.5362449,-0.10379486,0.3767047
-0.14481127,0.60133857,-0.12079116,0.12353709,0.1133298,-0.020827323,-0.07755745,0.10883996,0.45466718,0.4801072,0.10368076,0.15459445,0.80302525,0.6222542,-0.026800238,0.2888201
0.1210911,0.6728108,0.049937204,0.0053043664,-0.075633824,-0.060843572,0.010467693,0.1392056,0.11665466,0.68744904,0.117860705,0.49063444,0.73557734,0.4391879,0.060889706,0.23895326
-0.088097245,0.36604577,-0.11722724,0.038565874,0.024660587,0.08188136,-0.04853581,0.1297048,0.24753581,0.44817168,-0.02196461,0.309379,0.66749746,0.58586985,-0.08200282,0.14901902
-0.057325535,0.48568845,0.114216805,0.01745914,-0.09384519,0.11122936,0.049477533,0.11162913,0.29054892,0.38581032,-0.08304838,0.21796408,0.8814002,0.33134562,0.092339665,0.042351544
0.10813418,0.31297997,-0.14461085,-0.04039584,-0.026109032,0.03727226,0.035712898,0.13047642,0.3243571,0.6486652,-0.021996558,0.29798046,0.4957095,0.1128578,0.0751283,0.17695737
0.08427867,0.35843983,-0.04088044,-0.123439714,-0.14761819,-0.14011303,0.021080896,0.07464279,0.22786695,0.5180621,0.118397206,0.50327975,0.24806778,0.3267559,0.12253478,0.043084875
0.052804813,0.06830625,-0.014213085,0.07672839,0.08842011,-0.07017532,-0.09774727,0.112428635,0.36870685,0.2773398,0.11494163,0.27522942,0.5141409,0.21335833,0.12959528,0.4172094
-0.07486303,0.6205469,0.097562954,0.06675054,-0.010459334,-0.14506699,0.02599667,0.13285244,0.29869512,0.64627606,-0.0344003,0.15683669,0.6036599,0.75810444,-0.060433447,0.37379324
0.07791714,0.6247562,-0.09452178,-0.14964898,0.08634585,-0.14002891,-0.09648879,0.12858406,0.22838376,0.63319695,-0.09572165,0.3240071,0.84201986,0.53710383,-0.052537344,0.031782843
0.012390271,0.06246485,-0.10465655,0.0012179017,-0.006109357,-0.011328816,0.10603741,0.1409727,0.3263554,0.24826661,-0.006138608,0.36293352,0.8644288,0.12099471,-0.09788552,0.33549783
0.13394529,0.61999524,-0.14384308,0.08664037,-0.14483748,0.13152772,0.0425525,0.14071888,0.2709787,0.5774133,-0.0071187764,0.22824152,0.25317216,0.66855234,-0.040815108,-0.05851513
-0.07187358,0.3894251,0.051716015,-0.08140855,-0.09537549,0.13849443,-0.05261085,-0.038963787,0.13062748,0.6739614,0.08071175,0.4067454,0.7414546,0.09807482,-0.089996114,0.5231935
0.111223936,0.66696507,-0.04129842,0.10956386,0.1465087,0.02197738,-0.07404575,0.06252985,0.3069315,0.15997879,0.06827973,0.22403915,0.17146856,0.62367606,0.13879278,0.24148956
0.090439126,0.6317313,0.044323236,-0.02184248,-0.12534346,-0.03869854,0.11842555,-0.07235951,0.26748225,0.5427786,-0.12376426,0.26057178,0.6662776,0.4541584,0.0597454,0.24143325
0.09393622,0.44593936,0.10648382,0.06016463,-0.09860332,0.005616799,-0.14027226,-0.03774517,0.12490219,0.5012904,0.058966026,0.26381737,0.7483011,0.4196814,-0.10508554,0.28204668
0.14894608,0.5648758,-0.037465096,-0.045249335,0.085284784,-0.1194136,0.14585075,0.12258446,0.3495444,0.48953736,0.017211929,0.28528368,0.60924953,0.62261146,-0.0789995,0.26037377
0.091923565,0.57224,-0.08901952,-0.056110635,-0.013034612,-0.030605562,0.043230876,-0.05401753,0.1511992,0.4959452,-0.03301134,0.09041239,0.7152227,0.5181404,0.03852229,0.2036543
-0.075325176,0.45552906,-0.004030049,0.09871957,-0.11813383,0.022917703,-0.037875995,0.0029962063,0.24793929,0.3521986,0.08628516,0.4417829,0.8531703,0.46926767,0.043437973,0.013153009
0.06954189,0.01904159,0.03574106,-0.13569635,-0.023620144,0.010832921,-0.01608789,0.08558491,0.20725133,0.5565016,0.09168579,-0.04678256,0.7616351,0.24922839,0.1429497,0.21866702
0.13279343,0.5401251,0.08881143,0.049301043,-0.061042234,0.033742994,-0.03406384,-0.016991824,0.5059985,0.2081632,0.036710873,0.14470771,0.45738447,0.32838005,0.12125659,0.28446022
0.040244296,0.607103,-0.065320075,0.051942408,-0.1480197,-0.015862882,-0.031759486,0.059921265,0.39644608,0.71572787,0.12719259,0.24969998,0.54371613,0.5228197,-0.035469443,0.19738281
-0.13626005,0.3610322,-0.12711608,0.122220755,0.07426356,-0.07259521,0.1380305,-0.09516072,0.30390686,0.70341545,0.14531234,0.35449135,0.625165,0.38524437,-0.06360981,0.42943445
0.04063861,0.72702384,0.12765011,0.14423427,0.11227524,-0.047278963,0.044473305,0.12867606,0.39809924,0.5454712,0.07713655,0.34944993,0.60451734,0.7567408,-0.050114214,0.32732767
-0.03618615,0.60201603,-0.033169985,-0.022880018,-0.0025080442,0.022619754,0.09214158,0.085196435,0.3072588,0.6651329,0.13720384,0.26458895,0.89361084,0.46513587,0.08923823,0.37061337
-0.018365622,0.54460764,-0.058390334,-0.078380466,0.1442883,-0.09179759,-0.049080513,-0.006701827,0.17500992,0.5308455,0.043279186,0.15293166,0.83092666,0.50684386,-0.025176182,-0.0012942292
-0.0011174083,0.0013603047,-0.07002127,0.068339035,0.14125249,0.083314255,-0.09692162,0.044181213,0.0800015,0.43859452,0.0021201074,0.22818846,0.62864673,0.0077203587,0.061865553,0.4226253
0.1322282,0.56735075,-0.13989937,-0.07729894,-0.061530113,0.061024457,0.047989994,0.1433833,0.2214638,0.36018702,-0.14264679,0.2574025,0.080803744,0.7640078,-0.068845175,0.3955136
-0.054452635,0.71234524,-0.045121282,-0.035669677,8.717179e-05,-0.13544573,0.06404811,0.11166406,0.35004592,0.35286093,-0.054015003,0.33028904,1.0203192,0.5924923,0.10518575,0.10998814
0.09811965,0.43150994,-0.061382644,0.0055479854,-0.14393921,0.013352543,-0.09309574,-0.069084674,0.41426417,0.6557684,0.11030072,0.08854619,0.7644315,0.37549752,-0.02984079,0.042699628
0.07862647,0.18693215,-0.12935993,0.037530348,0.14039755,-0.12740096,0.13409886,-0.032131203,0.27801865,0.6968179,-0.13152511,0.26824063,0.58378303,0.10666721,0.019443065,0.38138613
-0.045004465,0.7225238,0.040266797,-0.074512646,-0.069752745,-0.11554864,-0.14462136,0.0071055293,0.18826333,0.7027705,0.09305017,0.38948077,0.36884522,0.70884496,-0.056115977,0.24861783
-0.046335913,0.37585068,-0.14477728,-0.108245865,0.07376671,-0.036114447,0.09030314,-0.083007365,0.37768558,0.2980327,0.12307757,0.20516,0.9442737,0.55957276,0.14788902,0.35976082
0.120946676,0.49522027,0.09507801,-0.012365431,0.13686639,0.08935155,-0.020224497,0.046258688,0.3613877,0.51855516,-0.033448845,0.37178642,0.7442361,0.5876924,0.07591741,0.18701252
0.12365824,0.33784014,-0.11069593,0.014513329,0.13522398,0.07374905,0.13317385,-0.03191062,0.14642689,0.6087605,-0.056625083,0.24052224,0.7803895,0.54392344,-0.0127225965,0.47985908
0.00862062,0.6299279,-0.14283219,0.03967409,-0.14976613,-0.0425437,-0.10083586,-0.13746677,-0.026124686,0.36439902,0.0058183074,0.28758997,0.77576494,0.84129566,0.005874142,0.42988402
-0.059544384,0.55027777,-0.1044866,0.009073496,-0.05416099,-0.0042546093,-0.083532415,0.07268958,0.17621711,0.2528384,0.06013228,0.47842574,0.78181136,0.6439581,0.070223406,0.51784
-0.022253126,0.82737744,0.06419499,0.03671691,0.043189168,-0.024537757,0.0748785,-0.06277639,0.3425662,0.579956,0.09216814,0.34755284,0.90618414,0.5982858,-0.122105196,0.09784725
0.0047703385,0.38030356,-0.14096177,-0.022014692,0.1135515,0.01070261,0.064089835,-0.113096565,0.31037647,0.66877747,-0.0076970607,0.2905791,0.82157636,0.34230116,0.04081644,0.06671147
-0.12210954,0.39666727,-0.078585096,-0.06930496,0.13344055,-0.105845354,-0.018843353,-0.1330866,0.14116979,0.5458254,0.12169674,0.35442686,0.48297226,0.2759747,-0.014414474,0.27266067
0.08332597,0.603359,-0.105044484,0.09445748,0.06426734,0.025320694,0.1306335,0.11031696,0.23065564,0.36809307,-0.0036119223,0.3345098,0.5665193,0.52121174,0.10743496,0.35224456
0.014836371,0.46409422,0.054392383,0.07930045,-0.07711945,-0.13650486,0.13525575,0.05997622,0.4305397,0.70145553,-0.112118304,0.3406594,0.805236,0.7221261,0.14309558,0.26103148
-0.054247893,0.5113418,-0.035904713,-0.07615759,-0.099840924,-0.024394706,0.060265407,-0.08093876,0.48927248,0.5713648,0.046075493,0.26597717,0.8901023,0.59033144,0.07852654,0.13285032
-0.06762454,0.3191918,0.10926589,-0.082345195,-0.0099758655,0.08793001,-0.1267282,-0.1355402,0.14219874,0.51287377,-0.09378654,0.31396747,0.78194964,0.3496519,0.046132624,0.2317718
0.12378746,0.3563697,-0.05041384,-0.13423416,0.07506204,0.10539797,-0.03537803,-0.035535872,0.25716525,0.29444158,0.045101166,0.2732917,0.69982815,0.6251074,0.022902131,0.17703792
0.1255143,0.5336179,0.08086197,-0.07673085,0.033028603,-0.05895319,-0.13863644,-0.076801285,0.079755366,0.33492103,-0.090436175,0.30727074,0.780544,0.43637365,-0.055063337,0.3202155
0.04616207,0.4593235,-0.09021326,0.051018223,-0.05873745,-0.040305197,0.017218634,0.07008979,0.30526763,0.15785226,0.07892692,0.41904554,0.6236309,0.51659,-0.11280392,0.08206922
0.10583058,0.26113933,0.13480353,0.11191431,-0.100025386,0.11279473,-0.004725814,0.13979182,0.20331976,0.6854347,0.035882354,0.34575403,0.8087467,0.4135917,0.12117678,0.27659506
0.12040934,0.41787183,-0.042931885,-0.07846501,-0.1261464,0.110020965,0.14241004,0.1293956,0.38171953,0.50189245,0.07756366,0.40338567,0.596897,0.4757823,0.0058627725,0.39445966
-0.08497658,0.6746436,0.09857404,-0.053945072,-0.034652352,0.11934933,-0.10337527,0.077630565,0.06551472,0.44585228,0.0061489344,0.16952528,0.6419509,0.5127541,0.028246015,0.4402814
-0.06997076,0.6180462,0.009287089,-0.014454514,0.13776386,-0.029954962,-0.003813684,0.03472422,0.12969641,0.23030728,0.14614558,0.4490033,0.8444083,0.72844726,-0.10319626,0.0951906
-0.027980112,0.32861257,-0.088664785,-0.09932664,-0.081235014,-0.11587941,0.066981435,0.0906228,0.33438525,0.4426711,-0.053316683,0.1583463,0.83340627,0.1741826,0.009826735,0.23577599
-0.046273224,0.37399462,0.077746466,0.091218084,-0.058258496,-0.0415373,-0.008368224,-0.13385613,0.19222534,0.613211,0.07242623,0.16065449,0.5133623,0.5313246,0.14955759,0.2703838
-0.09448345,0.5427147,0.078689456,0.09613152,0.14635569,-0.017954364,-0.122370265,-0.0023293495,0.4348616,0.453821,0.14673373,0.13479999,0.6945155,0.6667545,0.041721463,0.29209056
0.08191858,0.5493336,-0.06379318,-0.10711302,-0.0406185,0.039250523,-0.0768962,0.06265004,0.2407499,0.62489355,-0.05170194,0.25123695,0.85424924,0.46087095,0.06582366,0.4403455
0.076668724,0.7842468,0.08324136,0.028247967,-0.00045241416,-0.10067643,-0.05078967,-0.10845241,0.22464573,0.40079528,0.1213232,0.2509032,0.56664693,0.6469524,-0.049116343,0.19132851
-0.021435559,0.36693078,0.08747919,-0.030281715,-0.05604007,0.12428337,0.06427716,-0.111147076,0.3617277,0.56649494,-0.06657452,0.4277229,0.8822356,0.5354302,0.05657868,-0.12135356
0.11936331,0.45226923,-0.09870778,0.06795189,-0.07192397,0.015480548,0.14908975,-0.012270361,0.35596624,0.48784852,0.13845628,0.35541415,0.7197747,0.33197212,-0.12770931,0.3476841
0.12801722,0.68057317,0.066568986,0.04317139,-0.028406315,-0.06386259,0.09762658,0.12786812,0.29515556,0.6081511,0.0032856315,0.16910864,0.6500756,0.48445368,0.03363739,0.12011835
-0.1498915,0.32284966,-0.12128766,-0.14861797,0.10942599,0.078522176,-0.10743302,0.018710166,0.13405389,0.6235813,0.03510271,0.12882563,0.82043433,0.40539068,0.044343352,0.30246255
-0.0028069168,0.562078,-0.023769677,0.0300875,-0.062477753,-0.13447791,0.1206772,-0.043328494,0.2557198,0.21154436,0.1447933,0.40465045,0.60556966,0.67681205,0.14101303,0.3213764
0.0038528144,0.62866473,-0.05165711,-0.12626253,0.01180625,0.01773712,0.09771958,-0.06251603,0.5096511,0.5666509,0.10889384,0.022410214,0.7048958,0.60337836,0.14539641,0.10483022
0.038763836,0.22258748,0.066724226,-0.103695616,-0.025270365,0.13706058,0.14138761,0.121979535,0.52052397,0.5545957,0.07496095,0.2791561,0.90291166,0.25138614,-0.09904528,0.24399577
-0.06237928,0.576669,0.040579855,0.023238108,0.11572659,0.04586506,-0.12216361,-0.03503062,0.37476724,0.7910261,-0.109975114,0.27790552,0.5323704,0.36402664,0.036273018,0.22475691
0.08103134,0.3378514,-0.016735762,-0.020592064,0.055990025,-0.065624915,0.12340346,-0.035310373,0.23259313,0.5885586,-0.051687762,0.09498231,0.6770709,0.40700018,-0.007515788,0.26356536
-0.07055095,0.42400968,-0.1000974,0.090096205,0.12571031,-0.08871065,-0.016646534,-0.02411887,0.11760241,0.47682256,-0.05776193,0.20237039,0.52473724,0.4932891,0.018546388,0.23014483
-0.056749716,0.5026437,0.009639204,-0.07073903,0.14609796,0.002504915,0.0012114793,0.053746164,0.16968437,0.57419574,-0.08677504,0.29793152,0.8498961,0.6015973,0.0149603635,0.30009717
-0.13719954,0.63273954,-0.14049202,0.103574306,0.028645635,-0.025749102,-0.083737284,0.023706079,0.23200014,0.36196893,-0.037588693,0.18748876,0.70126903,0.57830155,0.009001046,0.37262654
0.1484316,0.66704506,-0.14699574,-0.14586034,0.12454456,0.10488337,0.06345917,-0.14257202,0.1697279,0.49431548,0.099973544,0.5216229,0.7080413,0.46161366,-0.11753592,0.13732508
-0.0881498,0.37682462,0.09950681,-0.044365995,0.0012587458,-0.1132605,0.06933838,0.14434877,0.29833773,0.28071266,0.06559369,0.4717679,0.8036965,0.42521697,-0.066101454,0.32737273
0.11163756,0.4432125,-0.082176685,-0.13821788,-0.14235123,-6.444752e-05,-0.029709578,0.05042319,0.24261631,0.51612115,-0.08244535,0.39785177,0.70912975,0.5464132,0.13711542,-0.10469999
0.09669517,0.28614882,0.008646011,-0.09026331,-0.11198227,0.044185713,-0.021858767,-0.057218246,0.37066337,0.35996145,-0.083200395,0.31589627,0.6450619,0.46382475,0.069711655,0.42055374
0.10108721,0.6619273,0.019644499,-0.09646066,0.089542195,-0.040473893,-0.05593457,0.11177015,0.30280006,0.57110834,-0.10046604,0.093776435,0.62241805,0.5682174,0.054125547,0.3945452
-0.005892381,0.57013726,0.0011588335,-0.14014637,0.112451375,-0.051075555,0.05155456,-0.106543675,0.15660161,0.32843006,0.0863215,0.22372428,0.7396051,0.62600327,0.029013902,0.42964453
-0.14296003,0.56014663,-0.12326078,-0.026615903,-0.12563407,-0.048541173,-0.07490904,0.11040217,0.13029091,0.037744403,0.04180348,0.15461648,0.76668525,0.74863064,-0.14185315,0.4545282
-0.10518949,0.8013887,-0.04181598,0.004347086,-0.014444247,-0.09677732,0.0066740215,0.120547414,0.4732051,0.18168779,0.058496475,0.37864116,0.9159173,0.7227837,0.109614104,0.3667612
-9.556115e-05,0.57508945,0.077113494,0.0931533,0.08631796,-0.1109028,0.010951832,-0.0031351298,0.31799632,0.594395,-0.13680753,0.23365767,0.82808757,0.5669212,0.027894467,0.11282512
-0.12828985,0.48552603,-0.112362295,-0.14566125,-0.073836386,-0.08503753,-0.10776316,0.047200143,0.14701651,0.6435386,-0.059784636,0.35546416,0.8665929,0.3825841,0.12743574,0.27269995
-0.09108271,0.4735833,-0.040337384,0.0073219985,-0.1260706,-0.004589528,0.14860815,-0.14592467,0.44302025,0.10012246,0.0982081,0.18815976,0.5072888,0.5167794,0.12400487,0.4085349
-0.10892364,0.67118204,-0.0687087,-0.07026975,-0.08965951,-0.036406897,-0.13234009,-0.019407466,0.29836953,0.8207746,-0.02544088,0.07026103,0.80226785,0.5310616,0.02284059,0.28475648
-0.13394943,0.4666843,-0.039701186,-0.04173269,0.078586355,0.13240871,-0.10469133,0.007924974,0.027799502,0.37756926,0.00064875185,0.28844064,0.7365946,0.6076673,-0.10035904,0.19045554
-0.1240722,0.302375,-0.07257269,-0.06564249,-0.02525466,-0.13859175,-0.09578577,-0.009632513,0.25522718,0.13219774,-0.035080075,0.25957954,0.8339479,0.49259403,-0.12628089,0.29020578
0.1255298,0.6417453,-0.046826273,0.0019588321,-0.13494816,-0.14221504,0.055824205,-0.12056239,0.31892604,0.53332466,0.13323957,0.1409975,0.57543004,0.49273607,-0.08465903,0.2073445
-0.052948326,0.39405414,-0.039412968,-0.06297802,0.038637847,-0.06399956,-0.09454231,0.14959246,0.2741121,0.506822,0.13903743,0.11742071,0.5647355,0.323395,0.12743586,0.3309033
-0.0678281,0.45974523,0.03816247,-0.013881162,0.12385312,0.1225557,0.07983707,0.123090476,0.39213693,0.47698075,-0.0885857,0.207902,0.6282118,0.5383687,-0.025675587,0.31603608
0.07758397,0.6616359,0.088875145,0.08185312,0.09460761,-0.077285334,0.025550455,0.10795656,0.17759669,0.5990467,-0.06384039,0.19918686,0.77743876,0.67213845,-0.12056262,0.43145522
-0.10478018,0.7591915,-0.12294998,-0.078265004,0.14109623,-0.04955437,-0.0610741,0.059632882,0.48820788,0.4962129,-0.13281992,0.3582608,0.7666555,0.68257797,0.07403158,0.4334053
-0.12657654,0.7011336,-0.08391776,-0.024190739,0.008494794,-0.068846226,0.075239524,0.10221273,0.33469355,0.78607595,-0.041608356,0.41299748,0.8119203,0.7274129,0.048838332,0.33455998
-0.10802179,0.6241814,0.14815766,0.073337,-0.08514891,-0.13077377,0.01668945,-0.032725565,0.10560987,0.5563834,0.11932245,0.20991945,0.8670815,0.43412364,-0.0023109913,0.20390302
0.046389386,0.50878453,0.117328584,-0.045471437,-0.117457196,-0.06870316,-0.013475224,-0.06549402,0.14978568,0.42566705,-0.0024803132,0.29181767,0.7782387,0.5001551,-0.1479337,0.18509649
-0.009269908,0.4019476,-0.039771847,-0.009568259,-0.055946574,-0.07238024,0.016751483,-0.12471468,0.26662892,0.3122422,0.07686134,0.22498642,0.7544153,0.45176452,-0.09079289,0.3869756
-0.10031997,0.71140873,0.09620476,0.09595172,0.045078322,-0.11253528,0.039285958,0.08320777,0.24350765,0.46496108,0.14786875,0.1259095,0.6234974,0.7446967,-0.020200968,0.11424253
0.10130152,0.2849985,0.058139473,-0.028973848,-0.023541778,0.020911023,0.10419172,0.023694977,0.28262702,0.65508646,-0.08898497,0.2905691,0.9720564,0.4572316,-0.10098612,0.31864095
-0.011577249,0.6754976,-0.081749566,-0.06591085,-0.054012805,-0.13794686,-0.08526088,-0.031016082,0.21875013,0.6049203,-0.101868086,0.22870986,0.6735965,0.6122164,0.003802389,0.1431947
0.01598981,0.24702816,-0.03949728,0.109408766,-0.08635376,0.11708057,-0.07585679,-0.110303074,0.10981417,0.38700294,0.05125831,0.26910967,0.78862023,0.33906117,-0.12383894,0.13634056
0.14869794,0.4950013,-0.12563163,0.045860603,0.10560903,0.11371523,-0.060512103,0.004531607,0.49762744,0.46429566,-0.051581778,0.18640865,0.5562492,0.23432985,0.13098952,0.3157186
-0.019633785,0.5917102,-0.089125946,-0.14133519,0.036113113,0.07082279,-0.08856052,0.11299756,0.27467772,0.78026444,-0.038038895,0.33652544,0.4257527,0.5089057,0.01619327,0.18072732
0.015332013,0.5281743,-0.112948164,0.11552176,-0.105477944,-0.0170566,-0.13375324,-0.11955275,0.16072552,0.42820293,0.065432325,0.17018877,0.8188908,0.39146572,0.03758748,0.17587462
0.026592672,0.2957341,-0.019107461,-0.055600137,-0.066280246,0.10134536,-0.046025835,-0.08550906,0.076362535,0.57307494,-0.08136006,0.40173087,0.5276087,0.48525506,-0.0046529025,0.3410928
0.11257881,0.71561384,0.036490723,0.026816308,0.092892766,0.13844669,0.1286442,0.09687205,-0.056484,0.27940837,0.044675305,0.26531243,0.58469903,0.5251381,0.13458154,0.3663556
0.145161,0.61318314,-0.07183553,0.09333749,-0.13543496,0.060768366,-0.09866725,0.111570716,0.35825342,0.3160023,0.091981694,0.12715045,0.67982686,0.5169109,0.110260755,0.45096186
0.015536055,0.7949822,0.13522834,0.13540822,0.023392186,-0.11589788,0.044610515,0.006705016,0.32997856,0.6444724,0.118083,0.28338575,0.84536624,0.7808871,0.08314115,0.45949382
0.043414325,0.5799505,0.0681131,-0.10804634,0.12449053,0.14532611,-0.00035500526,-0.05864107,0.17863373,0.65942824,0.14214069,0.34899485,0.77887875,0.6565128,0.06074801,0.015388012
-0.102763,0.021515422,0.008862555,-0.028226033,-0.007979408,-0.12884426,-0.049806677,0.11185107,0.20281103,0.25371176,-0.034714848,0.12917589,0.9493463,0.18828528,-0.12012261,0.3766485
-0.05012369,0.72450614,0.057203576,0.014744982,-0.04460571,0.030319601,-0.05692535,0.11962262,0.34669644,0.3091507,0.11375597,0.061272852,0.50786895,0.72606343,0.08691226,-0.02403155
-0.07334753,0.1509651,-0.0045129806,0.0032324344,-0.014007717,-0.029954217,-0.08637332,0.01807475,0.29681695,0.57574296,0.00089405477,0.38148072,0.9721599,0.11076043,-0.07495834,0.29888138
0.040123403,0.6115898,0.077782676,0.14781505,0.12686932,-0.006296575,0.040445372,0.06175913,0.4029663,0.49253857,-0.148598,0.13974947,0.21540833,0.6572124,-0.07749525,0.112299904
0.06699255,0.24592757,-0.113419235,0.07446957,0.019613534,0.01991707,-0.12543671,0.09054743,0.19720013,0.65650713,-0.08802195,0.25117517,0.8407528,0.21451974,0.01970549,0.25214112
0.14805052,0.44251063,-0.069340415,-0.043573827,-0.08632041,0.05473484,-0.0021636635,-0.005293399,0.11314887,0.5732814,0.07003328,0.39379218,0.3465612,0.39602935,0.13652006,0.044431373
0.08697055,0.3335559,0.10921213,-0.107204966,0.05686088,0.027940065,0.044274256,-0.04020013,0.276887,0.37341842,-0.120856196,0.255411,0.5280888,0.29021132,0.09354901,0.3120858
